,Data
854,"Presidential Proclamation on National Days of Prayer and Remembrance, 2018"
855,President Donald J. Trump Announces Intent to Appoint Individual to a Key Administration Post
856,President Donald J. Trump Announces Appointments for the Executive Office of the President
857,Six Nominations Sent to the Senate
858,President Donald J. Trump Announces Intent to Nominate Individual to a Key Administration Post
859,President Donald J. Trump Announces Intent to Nominate and Appoint Personnel to Key Administration Posts
860,"Presidential Proclamation on Labor Day, 2018"
861,Presidential Memorandum for the Secretary of State and the Administrator of the United States Agency for International Development
862,"Presidential Proclamation on National Preparedness Month, 2018"
863,"Presidential Proclamation on National Alcohol and Drug Addiction Recovery Month, 2018"
864,Executive Order on Strengthening Retirement Security in America
865,Notice of Intention to Enter Into a Trade Agreement
866,President Donald J. Trump Announces Intent to Nominate and Appoint Personnel to Key Administration Posts
867,Presidential Proclamation Adjusting Imports of Steel into the United States
868,Presidential Proclamation Adjusting Imports of Aluminum into the United States
869,Ten Nominations Sent to the Senate
870,President Donald J. Trump Announces Intent to Nominate Personnel to Key Administration Posts
871,President Donald J. Trump Announces Intent to Nominate and Designate Personnel to Key Administration Posts
872,Nine Nominations Sent to the Senate Today
873,President Donald J. Trump Announces Seventeenth Wave of Judicial Nominees
874,Presidential Proclamation on the Death of Senator John Sidney McCain III
875,"Presidential Proclamation on Women’s Equality Day, 2018"
876,"Presidential Memorandum for the Secretary of State, Secretary of the Treasury, Secretary of Homeland Security, Postmaster General, and Chairman of the Postal Regulatory Commission"
877,President Donald J. Trump Announces Intent to Nominate Personnel to Key Administration Posts
878,Eight Nominations Sent to the Senate Today
879,"President Donald J. Trump Announces Intent to Nominate, Appoint, and Designate Personnel to Key Administration Posts"
880,"Presidential Proclamation on National Employer Support of the Guard and Reserve Week, 2018"
881,President Donald J. Trump Announces Seventeenth Wave of United States Attorney Nominees and Twelfth Wave of United States Marshal Nominees
882,Nineteen Nominations and Two Withdrawals Sent to the Senate Today
883,"President Donald J. Trump Announces Intent to Nominate, Designate, and Appoint Personnel to Key Administration Posts"
884,One Nomination Sent to the Senate Today
885,President Donald J. Trump Announces Intent to Nominate Personnel to Key Administration Posts
886,Presidential Proclamation Adjusting Imports of Steel Into the United States
887,President Donald J. Trump Announces Intent to Nominate Personnel to Key Administration Posts
888,President Donald J. Trump Announces Intent to Nominate Personnel to Key Administration Posts
889,President Donald J. Trump Announces His Intent to Nominate Personnel to Key Administration Posts
890,Executive Order Reimposing Certain Sanctions with Respect to Iran
891,Three Nominations Sent to the Senate Today
892,President Donald J. Trump Announces Intent to Appoint Personnel to a Key Administration Post
893,President Donald J. Trump Announces Intent to Nominate and Appoint Personnel to Key Administration Posts
894,Ten Nominations Sent to the Senate Today
895,Presidential Proclamation to Take Certain Actions Under the African Growth and Opportunity Act and For Other Purposes
896,President Donald J. Trump Announces Intent to Nominate Personnel to Key Administration Posts
897,President Donald J. Trump Announces Intent to Nominate Personnel to Key Administration Posts
898,"Presidential Proclamation on the Anniversary of National Korean War Armistice Day, 2018"
899,"Presidential Proclamation on the Anniversary of the Americans with Disabilities Act, 2018"
900,President Donald J. Trump Announces Intent to Nominate and Appoint Personnel to Key Administration Posts
901,Two Nominations and One Withdrawal Sent to the Senate Today
902,Nine Nominations and One Withdrawal Sent to the Senate Today
903,President Donald J. Trump Announces Intent to Appoint Personnel to Key Administration Posts
904,Presidential Memorandum for the Secretary of State and the Secretary of Defense
905,President Donald J. Trump Announces Intent to Nominate Personnel to a Key Administration Post
906,One Nomination Sent to the Senate Today
907,Executive Order Establishing the President’s National Council for the American Worker
908,President Donald J. Trump Announces Intent to Nominate Personnel to Key Administration Post
909,Ten Nominations Sent to the Senate Today
910,President Donald J. Trump Announces Intent to Nominate Personnel to Key Administration Posts
911,President Donald J. Trump Announces Intent to Nominate Personnel to a Key Administration Post
912,"President Donald J. Trump Proclaims July 17, 2018, as Made in America Day and this week, July 15 through July 21, 2018, as Made in America Week"
913,"President Donald J. Trump Proclaims July 15 through July 21, 2018, as Captive Nations Week"
914,President Donald J. Trump Announces Intent to Nominate Personnel to a Key Administration Post
915,"President Donald J. Trump Announces Sixteenth Wave of Judicial Nominees, Sixteenth Wave of United States Attorney Nominees, and Eleventh Wave of United States Marshal Nominees"
916,President Donald J. Trump Announces His Intent to Nominate and Appoint Personnel to Key Administration Posts
917,President Donald J. Trump Announces Senior Staff Appointment
918,President Donald J. Trump Announces his Intent to Nominate and Appoint Personnel to Key Administration Posts
919,Executive Order Regarding the Establishment of the Task Force on Market Integrity and Consumer Fraud
920,President Donald J. Trump Announces Intent to Appoint Personnel to Key Administration Posts
921,"Executive Order Establishing an Exception to Competitive Examining Rules for Appointment to Certain Positions in the United States Marshals Service, Department of Justice"
922,Executive Order Excepting Administrative Law Judges from the Competitive Service
923,One Nomination Sent to the Senate Today
924,President Donald J. Trump Announces Intent to Nominate Judge Brett M. Kavanaugh to the Supreme Court of the United States
925,President Donald J. Trump Announces White House Appointments
926,President Donald J. Trump Announces Intent to Nominate Personnel to Key Administration Posts
927,President Donald J. Trump Announces Senior Staff Appointment
928,President Donald J. Trump Announces Intent to Nominate Personnel to Key Administration Posts
929,"Presidential Proclamation Honoring the Victims of the Tragedy in Annapolis, Maryland"
930,President Donald J. Trump Announces Intent to Nominate Personnel to Key Administration Posts
931,Two Nominations Sent to the Senate Today
932,President Donald J. Trump Announces Intent to Nominate and Appoint Personnel to Key Administration Posts
933,Twelve Nominations Sent to the Senate Today
934,President Donald J. Trump Announces Intent to Nominate Personnel to Key Administration Posts
935,President Donald J. Trump Announces His Intent to Nominate Personnel to Key Administration Posts
936,President Donald J. Trump Announces the Nomination of Personnel to Key Administration Posts
937,Three Nominations and Two Withdrawals Sent to the Senate Today
938,Affording Congress an Opportunity to Address Family Separation
939,President Donald J. Trump Announces Fifteenth Wave of United States Attorney Nominees and Tenth Wave of United States Marshal Nominees
940,Seven Nominations Sent to the Senate Today
941,"Executive Order Regarding the Ocean Policy to Advance the Economic, Security, and Environmental Interests of the United States"
942,Seventeen Nominations and One Withdrawal Sent to the Senate Today
943,"Space Policy Directive-3, National Space Traffic Management Policy"
944,President Donald J. Trump Announces Intent to Nominate and Appoint Personnel to Key Administration Posts
945,"President Donald J. Trump Proclaims June 17, 2018, as Father’s Day"
946,President Donald J. Trump Announces Intent to Nominate Personnel to Key Administration Posts
947,President Donald J. Trump Announces Intent to Nominate Personnel to Key Administration Posts
948,Seventeen Nominations Sent to the Senate Today
949,"President Donald J. Trump Proclaims June 14, 2018 as Flag Day and the Week Starting June 10, 2018 as National Flag Week"
950,Two Nominations and One Withdrawal Sent to the Senate
951,"President Donald J. Trump Announces Fifteenth Wave of Judicial Nominees, Fourteenth Wave of United States Attorney Nominees, and Ninth Wave of United States Marshal Nominees"
952,President Donald J. Trump Announces Intent to Nominate and Appoint Personnel to Key Administration Posts
953,President Donald J. Trump Announces Appointments for the Executive Office of the President
954,Eight Nominations Sent to the Senate Today
955,Presidential Memorandum for the Secretary of State
956,President Donald J. Trump Announces Intent to Nominate Personnel to a Key Administration Post
957,Presidential Memorandum for the Secretary of State
958,White House National Security Advisor Announces Senior Staff Appointment
959,President Donald J. Trump Proclaims June 2018 as African-American Music Appreciation Month
960,President Donald J. Trump Proclaims June 2018 as National Homeownership Month
961,President Donald J. Trump Proclaims June 2018 as National Ocean Month
962,President Donald J. Trump Proclaims June 2018 as National Caribbean-American Heritage Month
963,Presidential Proclamation Adjusting Imports of Aluminum into the United States
964,Presidential Proclamation Adjusting Imports of Steel into the United States
965,President Donald J. Trump Proclaims June 2018 as Great Outdoors Month
966,President Donald J. Trump Designates Personnel to a Key Administration Post
967,Executive Order on Exemption from Executive Order 13658 for Recreational Services on Federal Lands
968,"Executive Order Developing Efficient, Effective, and Cost-Reducing Approaches to Federal Sector Collective Bargaining"
969,"Executive Order Ensuring Transparency, Accountability, and Efficiency in Taxpayer Funded Union Time Use"
970,Executive Order Promoting Accountability and Streamlining Removal Procedures Consistent with Merit System Principles
971,President Donald J. Trump Announces Intent to Nominate Personnel to a Key Administration Post
972,"President Donald J. Trump Proclaims Memorial Day, May 28, 2018, as a Day of Prayer for Permanent Peace"
973,President Donald J. Trump Announces Intent to Nominate Personnel to Key Administration Posts
974,"Space Policy Directive-2, Streamlining Regulations on Commercial Use of Space"
975,Seven Nominations and One Withdrawal Sent to the Senate Today
976,One Nomination and One Withdrawal Sent to the Senate
977,Four Nominations Sent to the Senate Today
978,"President Donald J. Trump Proclaims May 22, 2018, as National Maritime Day"
979,Executive Order Prohibiting Certain Additional Transactions with Respect to Venezuela
980,"President Donald J. Trump Proclaims May 19 through May 25, 2018, as National Safe Boating Week"
981,"President Donald J. Trump Proclaims May 20 through May 26, 2018, as Emergency Medical Services Week"
982,"President Donald J. Trump Proclaims May 20 through May 26, 2018, as World Trade Week"
983,President Donald J. Trump Announces Intent to Nominate Personnel to a Key Administration Post
984,President Donald J. Trump Announces Intent to Nominate Personnel to Key Administration Posts
985,"Presidential Proclamation Honoring the Victims of the Tragedy in Santa Fe, Texas"
986,"President Donald J. Trump Proclaims May 19, 2018, as Armed Forces Day"
987,Executive Order Regarding Efficient Federal Operations
988,President Donald J. Trump Announces Intent to Nominate Personnel to Key Administration Post
989,"Presidential Memorandum for the Secretary of State, Secretary of the Treasury, Secretary of Defense, Secretary of Commerce, and the Director of National Intelligence"
990,Executive Order Enhancing the Effectiveness of Agency Chief Information Officers
991,Fifteen Nominations and One Withdrawal Sent to the Senate Today
992,President Donald J. Trump Announces Intent to Nominate and Appoint Personnel to Key Administration Posts
993,President Donald J. Trump Announces Intent to Nominate Personnel to Key Administration Posts
994,"Presidential Memorandum for the Secretary of State, Secretary of the Treasury, and the Secretary of Energy"
995,"President Donald J. Trump Proclaims May 15, 2018, as Peace Officers Memorial Day and May 13 through May 19, 2018, as Police Week"
996,"President Donald J. Trump Proclaims May 13 through May 19, 2018, as National Transportation Week"
997,President Donald J. Trump Announces Intent to Appoint Personnel to Key Administration Post
998,"President Donald J. Trump Proclaims May 13, 2018, as Mother’s Day"
999,President Donald J. Trump Announces Intent to Nominate and Appoint Personnel to Key Administration Posts
1000,"President Donald J. Trump Proclaims May 11, 2018, as Military Spouse Day"
1001,Five Nominations and Two Withdrawals Sent to the Senate Today
1002,"President Donald J. Trump Announces Fourteenth Wave of Judicial Nominees, Thirteenth Wave of United States Attorney Nominees, and Eighth Wave of United States Marshal Nominees"
1003,Executive Order Enhancing Noncompetitive Civil Service Appointments of Military Spouses
1004,Ceasing U.S. Participation in the JCPOA and Taking Additional Action to Counter Iran’s Malign Influence and Deny Iran All Paths to a Nuclear Weapon
1005,"President Donald J. Trump Proclaims May 7, 2018, as Be Best Day"
1006,Fifteen Nominations Sent to the Senate Today
1007,"President Donald J. Trump Proclaims May 6 through May 12, 2018, as Public Service Recognition Week"
1008,"President Donald J. Trump Proclaims May 6 through May 12, 2018, as National Hurricane Preparedness Week"
1009,"President Donald J. Trump Proclaims May 6 through May 12, 2018, as National Charter Schools Week"
1010,President Donald J. Trump Announces Intent to Nominate and Appoint Personnel to Key Administration Posts
1011,Executive Order on the Establishment of a White House Faith and Opportunity Initiative
1012,President Donald J. Trump Proclaims May 3 as a National Day of Prayer
1013,President Donald J. Trump Proclaims May 2018 as National Mental Health Awareness Month
1014,President Donald J. Trump Proclaims May 2018 as National Physical Fitness and Sports Month
1015,"President Donald J. Trump Proclaims May 1, 2018, as Loyalty Day"
1016,President Donald J. Trump Proclaims May 2018 as National Foster Care Month
1017,President Donald J. Trump Proclaims May 2018 as Older Americans Month
1018,President Donald J. Trump Proclaims May 2018 as Asian American and Pacific Islander Heritage Month
1019,Presidential Proclamation Adjusting Imports of Aluminum into the United States
1020,Presidential Proclamation Adjusting Imports of Steel into the United States
1021,Presidential Memorandum for the Secretary of State and the Secretary of Energy
1022,Presidential Memorandum for the Secretary of State and the Secretary of Energy
1023,"President Donald J. Trump Proclaims May 1, 2018, as Law Day, U.S.A."
1024,President Donald J. Trump Proclaims May 2018 as Jewish American Heritage Month
1025,"President Donald J. Trump Proclaims April 29 through May 5, 2018, as Small Business Week"
1026,President Donald J. Trump Announces Intent to Appoint Personnel to Key Administration Posts
1027,One Nomination Sent to the Senate Today
1028,President Donald J. Trump Announces Thirteenth Wave of Judicial Nominees and Seventh Wave of United States Marshal Nominees
1029,"President Donald J. Trump Proclaims April 26, 2018, as World Intellectual Property Day"
1030,Presidential Memorandum for the Heads of Executive Departments and Agencies
1031,President Donald J. Trump Announces Intent to Designate and Appoint Personnel to Key Administration Posts
1032,Seven Nominations Sent to the Senate Today
1033,President Donald J. Trump Announces Intent to Nominate Personnel to Key Administration Post
1034,Executive Order on the Delegation of Authority to Approve Certain Military Decorations
1035,"President Donald J. Trump Proclaims April 21 through April 29, 2018, as National Park Week"
1036,President Donald J. Trump Announces Intent to Nominate and Appoint Personnel to Key Administration Posts
1037,Presidential Memorandum for the Secretary of State
1038,National Security Presidential Memorandum Regarding U.S. Conventional Arms Transfer Policy
1039,President Donald J. Trump on Flying the Flag at Half-Staff for the Passing of Barbara Bush
1040,Ten Nominations Sent to the Senate Today
1041,President Donald J. Trump Announces Intent to Appoint Personnel to Key Administration Post
1042,One Nomination Sent to the Senate Today
1043,President Donald J. Trump Announces Intent to Nominate Personnel to Key Administration Posts
1044,"President Donald J. Trump Proclaims April 15 through April 21, 2018, as National Volunteer Week"
1045,President Donald J. Trump Announces Intent to Nominate Personnel to Key Administration Posts
1046,Executive Order on the Task Force on the United States Postal System
1047,President Donald J. Trump Announces Intent to Nominate and Designate Personnel to Key Administration Posts
1048,Twenty-Nine Nominations Sent to the Senate Today
1049,Presidential Memorandum for the Administrator of the Environmental Protection Agency
1050,"President Donald J. Trump Proclaims April 14, 2018, as Pan American Day and April 8 through April 14, 2018, as Pan American Week"
1051,"President Donald J. Trump Proclaims April 12 through April 19, 2018, as the Days of Remembrance of Victims of the Holocaust"
1052,President Donald J. Trump Announces Intent to Nominate and Appoint Personnel to Key Administration Posts
1053,Ten Nominations Sent to the Senate Today
1054,Executive Order Reducing Poverty in America by Promoting Opportunity and Economic Mobility
1055,Presidential Proclamation Maintaining Enhanced Vetting Capabilities and Processes for Detecting Attempted Entry into the United States by Terrorists or Other Public-Safety Threats
1056,"President Donald J. Trump Announces Twelfth Wave of Judicial Nominees, Twelfth Wave of United States Attorneys, and Sixth Wave of United States Marshals"
1057,President Donald J. Trump Announces Intent to Appoint Personnel to Key Administration Posts
1058,Five Nominations Sent to the Senate Today
1059,"President Donald J. Trump Proclaims April 9, 2018, as National Former Prisoner of War Recognition Day"
1060,"Presidential Memorandum for the Secretary of State, the Secretary of Defense, the Attorney General, the Secretary of Health and Human Services, and the Secretary of Homeland Security"
1061,"President Donald J. Trump Proclaims April 8 through 14, 2018, as National Crime Victims’ Rights Week"
1062,President Donald J. Trump Announces Intent to Nominate Personnel to Key Administration Post
1063,"Presidential Memorandum for the Secretary of Defense, the Attorney General, and the Secretary of Homeland Security"
1064,"Presidential Memorandum for the Secretary of State, the Secretary of Defense, the Secretary of Energy, the Secretary of Homeland Security, and the Director of National Intelligence"
1065,Notice Regarding the Continuation of the National Emergency with Respect to Somalia
1066,"President Donald J. Trump Proclaims the 50th Anniversary of the Assassination of Dr. Martin Luther King, Jr."
1067,President Donald J. Trump Announces Intent to Nominate Personnel to Key Administration Posts
1068,President Donald J. Trump Announces Intent to Nominate and Appoint Personnel to Key Administration Posts
1069,"President Donald J. Trump Proclaims April 2, 2018, World Autism Awareness Day"
1070,President Donald J. Trump Proclaims April 2018 as National Sexual Assault Awareness and Prevention Month
1071,President Donald J. Trump Proclaims April 2018 as Second Chance Month
1072,President Donald J. Trump Proclaims April 2018 as National Fair Housing Month
1073,President Donald J. Trump Announces Intent to Appoint Personnel to Key Administration Posts
1074,President Donald J. Trump Proclaims April 2018 as Cancer Control Month
1075,President Donald J. Trump Proclaims April 2018 as National Donate Life Month
1076,President Donald J. Trump Proclaims April 2018 as National Child Abuse Prevention Month
1077,President Donald J. Trump Announces Intent to Nominate and Appoint Personnel to Key Administration Posts
1078,President Donald J. Trump Announces Intent to Nominate and Appoint Personnel to Key Administration Posts
1079,"President Donald J. Trump Proclaims March 27, 2018, as “Education and Sharing Day, U.S.A.”"
1080,Presidential Memorandum for the Secretary of State and the Secretary of Homeland Security
1081,Notice Regarding the Continuation of the National Emergency with Respect to South Sudan
1082,Notice Regarding the Continuation of the National Emergency with Respect to Significant Malicious Cyber-Enabled Activities
1083,President Donald J. Trump Announces Intent to Nominate and Appoint Personnel to Key Administration Posts
1084,Presidential Memorandum for the Secretary of Defense and the Secretary of Homeland Security Regarding Military Service by Transgender Individuals
1085,President Donald J. Trump Announces Intent to Nominate Personnel to Key Administration Posts
1086,"President Donald J. Trump Proclaims March 25, 2018, as Greek Independence Day: A National Day of Celebration of Greek and American Democracy"
1087,Presidential Proclamation Adjusting Imports of Aluminum into the United States
1088,Presidential Proclamation Adjusting Imports of Steel into the United States
1089,Presidential Memorandum on the Actions by the United States Related to the Section 301 Investigation
1090,President Donald J. Trump Announces Intent to Nominate Personnel to Key Administration Post
1091,Three Nominations and Two Withdrawals Sent to the Senate Today
1092,President Donald J. Trump Announces Key Additions to his Administration
1093,"President Donald J. Trump Proclaims March 20, 2018, as National Agriculture Day"
1094,Executive Order on Taking Additional Steps to Address the Situation in Venezuela
1095,"President Donald J. Trump Proclaims March 18 through March 24, 2018, as Vocational-Technical Education Week"
1096,"President Donald J. Trump Proclaims March 18, 2018, through March 24, 2018, to be National Poison Prevention Week"
1097,President Donald J. Trump Announces Key Additions to his Administration
1098,President Donald J. Trump Announces Key Additions to his Administration
1099,Presidential Order Regarding the Proposed Takeover of Qualcomm Incorporated by Broadcom Limited
1100,Eleven Nominations Sent to the Senate Today
1101,Notice Regarding the Continuation of the National Emergency with Respect to Iran
1102,President Donald J. Trump Announces Key Additions to his Administration
1103,Presidential Proclamation on Adjusting Imports of Steel into the United States
1104,Presidential Proclamation on Adjusting Imports of Aluminum into the United States
1105,President Donald J. Trump Announces Key Additions to His Administration
1106,Federal Interagency Council on Crime Prevention and Improving Reentry
1107,Seven Nominations Sent to the Senate Today
1108,President Donald J. Trump Announces Fifth Wave of United States Marshal Nominees
1109,President Donald J. Trump Announces Key Additions to his Administration
1110,"President Donald J. Trump Proclaims March 4 through March 10, 2018, as National Consumer Protection Week"
1111,President Donald J. Trump Announces Intent to Nominate Personnel to Key Administration Posts
1112,Executive Order on the President’s Continuation of the National Emergency with Respect to Venezuela
1113,Executive Order on the President’s Continuation of the National Emergency with Respect to Ukraine
1114,"2018 Amendments to the Manual for Courts-Martial, United States"
1115,Five Nominations Sent to the Senate Today
1116,President Donald J. Trump Announces Bipartisan Group of Nominees to the United States Sentencing Commission
1117,President Donald J. Trump Proclaims March 2018 as Women’s History Month
1118,President Donald J. Trump Proclaims March 2018 as American Red Cross Month
1119,President Donald J. Trump Proclaims March 2018 as Irish-American Heritage Month
1120,President Donald J. Trump Announces Intent to Appoint Personnel to Key Administration Post
1121,Thirteen Nominations and One Withdrawal Sent to the Senate Today
1122,"Executive Order on the President’s Council on Sports, Fitness, and Nutrition"
1123,President Donald J. Trump Announces Key Additions to his Administration
1124,President Donald J. Trump Announces Intent to Nominate Personnel to Key Administration Posts
1125,Presidential Proclamation on Modifying and Continuing the National Emergency with Respect to Cuba and Continuing to Authorize the Regulation of the Anchorage and Movement of Vessels
1126,President Donald J. Trump Announces Intent to Appoint Personnel to Key Administration Posts
1127,Presidential Proclamation on the Death of Billy Graham
1128,Presidential Memorandum on the Application of the Definition of Machinegun to “Bump Fire” Stocks and Other Similar Devices
1129,Presidential Memorandum on the Delegation of Authorities under Section 1245 of the National Defense Authorization Act for Fiscal Year 2018
1130,President Donald J. Trump Announces Eleventh Wave of United States Attorney Nominees
1131,President Donald J. Trump Announces Fourth Wave of United States Marshal Nominees
1132,"Presidential Proclamation Honoring the Victims of the Tragedy in Parkland, Florida"
1133,President Donald J. Trump Announces Intent to Nominate Thelma Drake of Virginia to be Federal Transit Administrator
1134,President Donald J. Trump Announces Intent to Nominate Personnel to Key Administration Posts
1135,Presidential Message to the Congress of the United States
1136,Presidential Sequestration Order for Fiscal Year 2019
1137,President Donald J. Trump Announces Eleventh Wave of Judicial Nominees
1138,"President Donald J. Trump Announces Intent to Nominate Harry B. Harris Jr. of Florida, to be to be Ambassador Extraordinary and Plenipotentiary of the United States of America to the Commonwealth of Australia"
1139,Presidential Message to the Congress of the United States
1140,Notice Regarding the Continuation of the National Emergency with Respect to Libya
1141,Presidential Message to the Congress of the United States
1142,Presidential Memorandum for the Secretary of State and the Secretary of Defense
1143,Presidential Memorandum Delegation of Certain Functions and Authorities under Section 1252 of the National Defense Authorization Act for Fiscal Year 2017
1144,President Donald J. Trump Announces Intent to Nominate Charles P. Rettig
1145,President Donald J. Trump Announces Intent to Nominate Personnel to Key Administration Posts
1146,Presidential Memorandum on Optimizing the Use of Federal Government Information in Support of the National Vetting Enterprise
1147,President Donald J. Trump Announces Intent to Appoint Kenneth Johnson and Intent to Nominate Jeffrey Nadaner
1148,Twelve Nominations and Two Withdrawals Sent to the Senate Today
1149,Presidential Memorandum on the Delegation of Certain Functions and Authorities under Section 1238 of the National Defense Authorization Act for Fiscal Year 2018
1150,President Donald J. Trump Announces Intent to Nominate Personnel to Key Administration Posts
1151,President Donald J. Trump Announces Key Additions to his Administration
1152,President Donald J. Trump Proclaims February 2018 as American Heart Month
1153,President Donald J. Trump Proclaims February 2018 as National African American History Month
1154,Presidential Executive Order on Protecting America Through Lawful Detention of Terrorists
1155,President Donald J. Trump Announces Intent to Nominate Kirsten Dawn Madison of Florida
1156,President Donald J. Trump Announces Intent to Appoint Suzette Kuhlow Kent and Intent to Nominate Dr. James Reilly and Seth Daniel Appleton
1157,Five Nominations Sent to the Senate Today
1158,President Donald J. Trump Announces Intent to Nominate Personnel to Key Administration Posts
1159,Eight Nominations Sent to the Senate Today
1160,Four Nominations Sent to the Senate Today
1161,President Donald J. Trump Announces Tenth Wave of Judicial Nominees
1162,Presidential Proclamation to Facilitate Positive Adjustment to Competition from Imports of Large Residential Washers
1163,Presidential Proclamation to Facilitate Positive Adjustment to Competition from Imports of Certain Crystalline Silicon Photovoltaic Cells
1164,Presidential Memorandum for the Secretary of Defense
1165,Presidential Memorandum for the Secretary of Defense
1166,Three Nominations and One Withdrawal Sent to the Senate Today
1167,"President Donald J. Trump Announces Intent to Nominate Trevor Traina of California, to be Ambassador Extraordinary and Plenipotentiary of the United States of America to the Republic of Austria"
1168,"President Donald J. Trump Proclaims January 21 through January 27, 2018, as National School Choice Week"
1169,One Nomination Sent to the Senate Today
1170,"President Donald J. Trump Proclaims January 22, 2018, as National Sanctity of Human Life Day"
1171,"President Donald J. Trump Announces Intent to Nominate John H. Gibson II of Texas, to be Chief Management Officer at the Department of Defense"
1172,Nine Nominations Sent to the Senate Today
1173,President Donald J. Trump Announces Intent to Nominate Edward C. Prado to be Ambassador to the Argentine Republic
1174,"President Donald J. Trump Proclaims January 16, 2018, as Religious Freedom Day"
1175,President Donald J. Trump Announces Intent to Nominate Personnel to Key Administration Posts
1176,"President Donald J. Trump Proclaims January 15, 2018, as the Martin Luther King, Jr., Federal Holiday"
1177,Two Nominations Sent to the Senate Today
1178,President Donald J. Trump Announces Intent to Nominate Paul C. Ney Jr. of Tennessee to be the General Counsel of the Department of Defense
1179,Presidential Memorandum for the Director of National Intelligence
1180,Presidential Executive Order on Supporting Our Veterans During Their Transition From Uniformed Service to Civilian Life
1181,Presidential Memorandum for the Secretary of State
1182,Presidential Memorandum for the Secretary of the Interior
1183,Presidential Executive Order on Streamlining and Expediting Requests to Locate Broadband Facilities in Rural America
1184,Nominations Sent to the Senate Today
1185,Nominations Sent to the Senate Today
1186,President Donald J. Trump Announces Renomination of 21 Judicial Nominees
1187,President Donald J. Trump Announces Key Additions to his Administration
1188,Executive Order on the Termination of Presidential Advisory Commission on Election Integrity
1189,President Donald J. Trump Announces Key Additions to his Administration
1190,President Donald J. Trump Proclaims January 2018 as National Slavery and Human Trafficking Prevention Month
1191,Presidential Proclamation to Take Certain Actions under the African Growth and Opportunity Act and for Other Purposes
1192,Executive Order on Adjustments of Certain Rates of Pay
1193,Four Nominations Sent to the Senate Today
1194,Executive Order Blocking the Property of Persons Involved in Serious Human Rights Abuse or Corruption
1195,President Donald J. Trump Announces Intent to Appoint Personnel to Key Administration Posts
1196,Eight Nominations Sent to the Senate Today
1197,President Donald J. Trump Announces Ninth Wave of Judicial Nominees and Tenth Wave of United States Attorney Nominees
1198,Presidential Executive Order on a Federal Strategy to Ensure Secure and Reliable Supplies of Critical Minerals
1199,Four Nominations Sent to the Senate Today
1200,President Donald J. Trump Announces Intent to Appoint Caren Harp to the Department of Justice
1201,"President Donald J. Trump Proclaims December 17, 2017, as Wright Brothers Day"
1202,President Donald J. Trump Announces Intent to Nominate Andrea Thompson to the Department of State
1203,President Donald J. Trump Announces Intent to Nominate Personnel to Key Administration Posts
1204,Presidential Memorandum on Reinvigorating America’s Human Space Exploration Program
1205,Four Nominations Sent to the Senate Today
1206,"President Donald J. Trump Proclaims December 10, 2017, as Human Rights Day; December 15, 2017, as Bill of Rights Day; and the week beginning December 10, 2017, as Human Rights Week"
1207,Presidential Executive Order on Revising the Seal for the National Credit Union Administration
1208,Presidential Memorandum for the Chief Counsel for Advocacy of the Small Business Administration
1209,"President Donald J. Trump Proclaims December 7, 2017, as National Pearl Harbor Remembrance Day"
1210,President Donald J. Trump Announces Intent to Appoint Personnel to Key Administration Posts
1211,Presidential Memorandum for the Secretary of State
1212,Presidential Proclamation Recognizing Jerusalem as the Capital of the State of Israel and Relocating the United States Embassy to Israel to Jerusalem
1213,President Donald J. Trump Announces Key Additions to his Administration
1214,Presidential Memorandum for the Secretary of State
1215,President Donald J. Trump Announces Key Additions to his Administration
1216,Presidential Proclamation Modifying the Bears Ears National Monument
1217,Presidential Proclamation Modifying the Grand Staircase-Escalante National Monument
1218,Nine Nominations Sent to the Senate Today
1219,Twelve Nominations Sent to the Senate Today
1220,President Donald J. Trump Announces Intent to Nominate Jelena McWilliams of Ohio to the Federal Deposit Insurance Corporation
1221,President Donald J. Trump Proclaims December 2017 as National Impaired Driving Prevention Month
1222,"President Donald J. Trump Proclaims December 1, 2017, as World AIDS Day"
1223,President Donald J. Trump Announces Intent to Nominate Personnel to Key Administration Posts
1224,Two Nominations Sent to the Senate Today
1225,President Donald J. Trump Announces Key Additions to his Administration
1226,President Donald J. Trump Announces Key Additions to his Administration
1227,President Donald J. Trump Announces Key Additions to his Administration
1228,President Donald J. Trump Announces Intent to Nominate Personnel to Key Administration Posts
1229,"President Donald J. Trump Proclaims Thursday, November 23, 2017, as a National Day of Thanksgiving"
1230,President Donald J. Trump Announces Ninth Wave of United States Attorney Nominations and Third Wave of United States Marshal Nominations
1231,"President Donald J. Trump Proclaims November 19 through November 25, 2017, as National Family Week"
1232,"Presidential Memorandum for the Secretary of State, the Secretary of the Treasury, and the Secretary of Energy"
1233,President Donald J. Trump Announces Intent to Nominate Personnel to Key Administration Posts
1234,One Nomination Sent to the Senate
1235,Four Nominations and One Withdrawal Sent to the Senate Today
1236,President Donald J. Trump Announces Intent to Nominate Personnel to Key Administration Posts
1237,Presidential Proclamation Commemorating the 50th Anniversary of the Vietnam War
1238,"President Donald J. Trump Proclaims November 13 through November 19, 2017, as National Apprenticeship Week"
1239,"President Donald J. Trump Proclaims November 12 through November 18, 2017, as American Education Week"
1240,"President Donald J. Trump Proclaims November 9, 2017, as World Freedom Day"
1241,"President Donald J. Trump Proclaims November 11, 2017 as Veterans Day"
1242,President Donald J. Trump’s Visit to Japan Strengthens the United States-Japan Alliance and Economic Partnership
